Altium Designer Pick and Place Locations
C:\Users\Public\Documents\GitHub\AQ-with-ESP32-S3-MINI-I\Project Outputs for Free Documents\Pick Place\Pick Place for AQM with ESP32-S3.txt

========================================================================================================================
File Design Information:

Date:       28/11/23
Time:       13:25
Revision:   78979cd042e88ba0f0fe0f409ad5b8dc5372e9d6
Variant:    No variations
Units used: mm

Designator Comment                  Layer       Footprint                  Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                              Manufacturer                                         
C16        100nF                    BottomLayer T491A                      70.2310      119.2530     360      "100nF 35V 20O@100kHz ±10% CASE-A-3216 Tantalum Capacitors ROHS"                                                                         KEMET                                                
R12        5.1kO                    BottomLayer RESC1005X40X25NL05T10      43.6880      120.6500     180      "62.5mW Thick Film Resistors ±1% 5.1kO 0402 Chip Resistor - Surface Mount ROHS"                                                          YAGEO                                                
P17        "Header 3"               TopLayer    HDR1X3                     82.2960      127.1270     360      "Header, 3-Pin"                                                                                                                          ""                                                   
P16        "Header 5"               TopLayer    HDR1X5                     71.7550      109.0930     360      "Header, 5-Pin"                                                                                                                          ""                                                   
P15        "Header 5"               TopLayer    HDR1X5                     62.6110      104.3940     270      "Header, 5-Pin"                                                                                                                          ""                                                   
P13        "Header 10"              TopLayer    HDR1X10                    81.0260      111.2520     270      "Header, 10-Pin"                                                                                                                         ""                                                   
D2         MBR540                   BottomLayer MBR540-DO-201AD            40.8940      87.5030      180      "40V 5A 580mV@5A DO-201AD Schottky Barrier Diodes (SBD) ROHS"                                                                            "Jilin Sino-Microelectronics"                        
U6         RT9080-33GJ5             BottomLayer SOT94P280X100-5N           35.1790      104.1400     180      "TSOT-23-5 Linear Voltage Regulators (LDO) ROHS"                                                                                         "Richtek Tech"                                       
U5         BME280                   BottomLayer FP-BME280-MFG              33.2740      112.3950     90       "LGA-8 Temperature and Humidity Sensor ROHS"                                                                                             "Bosch Sensortec"                                    
U4         MCP73831T-2ACI/OT        BottomLayer FP-C04-091-OT-IPC_B        43.6880      112.1410     180      "SOT-23-5 Battery Management ICs ROHS"                                                                                                   "Microchip Tech"                                     
